"Unidade";"UF";"Edital";"Processo SEI";"Ciclo";"Vagas Previstas";"Contratados";"Vagas Ociosas";"Inscritos";"Status";"Etapa";"Risco";"Data de Início";"Data de Encerramento";"Responsável";"Observações";"Link do Edital"
"DSEI Médio Rio Purus";"AM";"58/2026";"";"";"2";"0";"2";"0";"Em Andamento";"Impugnação do Edital";"Baixo";"2026-06-16";"2026-07-29";"";"";"https://agenciasus.org.br/shared-files/32802/?Edital-do-Processo-Seletivo-Simplificado-Sanitarista-no-582026.pdf"
"DSEI Porto Velho";"RO";"63/2026";"AGSUS.015380/2026-24";"5º";"2";"0";"2";"0";"Andamento";"Impugnação do Edital";"Baixo";"2026-06-16";"2026-07-29";"Núcleo";"Cargo de Sanitarista";"https://agenciasus.org.br/shared-files/32818/?SEI_0522490_Edital_de_Processo_Seletivo_Simplificado_41.pdf"
"DSEI Rio Tapajós";"PA";"65/2025";"AGSUS.015384/2026-11";"5º";"2";"0";"2";"0";"Andamento";"Impugnação do Edital";"Baixo";"2026-06-16";"2026-07-29";"";"Cargo de Sanitarista";"https://agenciasus.org.br/shared-files/32815/?SEI_0522793_Edital_de_Processo_Seletivo_Simplificado_65-1.pdf"
"DSEI Tocantins";"TO";"66/2026";"AGSUS.015386/2026-00";"5º";"2";"0";"2";"0";"Andamento";"Impugnação do Edital";"Baixo";"2026-06-16";"2026-07-29";"";"Cargo de Sanitarista";"https://agenciasus.org.br/shared-files/32862/?SEI_0522802_Edital_de_Processo_Seletivo_Simplificado_66-1.pdf"
"DSEI Vilhena";"RO";"68/2026";"";"";"2";"0";"2";"0";"Em Andamento";"Impugnação do Edital";"Baixo";"2026-06-16";"2026-07-29";"";"";"https://agenciasus.org.br/shared-files/32790/?Edital-de-Processo-Seletivo-Simplificado-682026.pdf"
"DSEI Xavante";"MT";"69/2026";"AGSUS.015389/2026-35";"";"2";"0";"2";"0";"Andamento";"Impugnação do Edital";"Baixo";"2026-06-16";"2026-07-27";"";"Cargo de Sanitarista";"https://agenciasus.org.br/shared-files/32777/?Edital-de-Processo-Seletivo-Simplificado-692026.pdf"
"DSEI Xingu";"MT";"70/2026";"AGSUS.015390/2026-60";"5º";"2";"0";"2";"0";"Andamento";"Impugnação do Edital";"Baixo";"2026-06-16";"2026-07-29";"Núcleo";"Cargo de Sanitarista";"https://agenciasus.org.br/shared-files/32851/?SEI_0522549_Edital_de_Processo_Seletivo_Simplificado_46.pdf"
"DSEI Yanomami";"RR";"37/2026";"";"";"2";"0";"2";"0";"Em Andamento";"Impugnação do Edital";"Baixo";"2026-06-16";"2026-07-29";"";"";"https://agenciasus.org.br/shared-files/32968/?Edital-de-Processo-Seletivo-Simplificado-37-.pdf"
"DSEI Ceará";"CE";"47/2026";"AGSUS.015358/2026-84";"5º";"1";"0";"1";"0";"Andamento";"Impugnação do Edital";"Baixo";"2026-06-16";"2026-07-29";"";"Cargo de Sanitarista";"https://agenciasus.org.br/shared-files/32786/?SEI_0522560_Edital_de_Processo_Seletivo_Simplificado_47.pdf"
"DSEI Litoral Sul";"PR";"54/2026";"AGSUS.015367/2026-75";"5º";"1";"0";"1";"0";"Andamento";"Impugnação do Edital";"Baixo";"2026-06-16";"2026-07-29";"Núcleo";"Cargo de Sanitarista";"https://agenciasus.org.br/shared-files/32832/?SEI_0522686_Edital_de_Processo_Seletivo_Simplificado_54.pdf"
"DSEI Maranhão";"MA";"76/2025";"AGSUS.008082/2025-05";"3º CICLO";"18";"17";"1";"3938";"Concluído";"Resultado final do Processo Seletivo";"Baixo";"2025-10-22";"2026-02-02";"Fabiana";"";"https://agenciasus.org.br/shared-files/19123/?Edital-DSEI-MARANHAO.pdf"
"DSEI Mato Grosso do Sul";"MS";"57/2026";"AGSUS.015372/2026-88";"5º";"1";"0";"1";"0";"Andamento";"Impugnação do Edital";"Baixo";"2026-06-16";"2027-07-19";"Núcleo";"Cargo de Sanitarista";"https://agenciasus.org.br/shared-files/32806/?SEI_0522710_Edital_de_Processo_Seletivo_Simplificado_57.pdf"
"DSEI Minas Gerais e Espírito Santo";"MG";"60/2026";"AGSUS.015377/2026-19";"4º";"1";"0";"1";"0";"Andamento";"Impugnação do Edital";"Baixo";"2026-06-16";"2026-07-29";"Núcleo";"Cargo de Sanitarista";"https://agenciasus.org.br/shared-files/32876/?Edital-de-Processo-Seletivo-Simplificado-602026.pdf"
"DSEI Potiguara";"PB";"64/2026";"AGSUS.015381/2026-79";"5º";"1";"0";"1";"0";"Andamento";"Impugnação do Edital";"Baixo";"2026-06-16";"2026-07-29";"Núcleo";"Cargo de Sanitarista";"https://agenciasus.org.br/shared-files/32795/?SEI_0522786_Edital_de_Processo_Seletivo_Simplificado_64.pdf"
"CASAI Brasília";"DF";"39/2025";"AGSUS.005126/2025-37";"2º CICLO";"9";"15";"0";"6698";"Concluído";"Resultado final do Processo Seletivo";"Baixo";"2025-10-03";"2025-11-17";"Alane";"";"https://agenciasus.org.br/shared-files/18180/?Edital-no-392025-1-CASAI-Nacional-Brasilia.pdf"
"DSEI Alto Rio Negro";"AM";"92/2025";"AGSUS.008285/2025-93";"3º CICLO";"11";"31";"0";"1307";"Concluído";"Resultado final do Processo Seletivo";"Baixo";"2025-10-22";"2026-01-05";"Alane";"";"https://agenciasus.org.br/shared-files/19133/?Edital-DSEI-ALTO-RIO-NEGRO.pdf"
"DSEI Alto Rio Purus";"AC";"81/2025";"AGSUS.008087/2025-20";"3º CICLO";"0";"0";"0";"1389";"Cancelado";"Análise Curricular";"Baixo";"2025-10-27";"2026-04-20";"";"Entrevistas previstas para 23 a 27/03";"https://agenciasus.org.br/shared-files/20136/?Edital-no-81-1-Edital-de-Processo-Seletivo-Simplificado-DSEI-Alto-Rio-Purus.pdf"
